Fecha,NT Nuevos Usuarios,NT Cardstore,NT Reemplazos,NT Adicionales,Stocks Tarjetas Personalizadas,Stocks Cardbody Black,Stocks Flyer Germinable,Stocks Bolsas,Stocks Stickers,Produccion Inicial Black,Produccion Inicial Cincita,Produccion Inicial Cincita Reemplazo,Produccion Inicial Onix,Produccion Inicial Pride 2022,Produccion Inicial Mundial,Produccion Inicial Pride Hologlam,Produccion Inicial Pride Colors,Produccion Inicial Cardlaveritas,Produccion Inicial Cardtrina,Produccion Inicial Cardjolote White,Produccion Inicial Cardjolote Black,Produccion Inicial Ocean Plastic,Produccion Inicial Play Guy,Produccion Inicial Gotica,Produccion Inicial Pride 2024,Produccion Inicial Minion Mega,Produccion Inicial Minon Rayo,Produccion Inicial Cardlaveritas 2024,Produccion Inicial Wicked,Produccion Inicial Alebrije,Produccion Inicial Total,RT,Mensajeria,Entregas Black,Entregas Cincita,Entregas Onix,Entregas Cincita Reemplazo,Entregas Pride 2022,Entregas Mundial,Entregas Pride Hologlam,Entregas Pride Colors,Entregas Cardlaveritas,Entregas Cardtrinas,Entregas Cardjolote White,Entregas Cardjolote Black,Entregas Ocean Plastic,Entregas PlayCard,Entregas Alebrije,Entregas Gotica,Entregas Pride 2024,Entregas Minion Rayo,Entregas Minion Mega,Entregas Cardlaveritas 2024,Entregas Wicked,Demanda Total Tarjetas,# de Usuarios
01/01/2023,24414,,2553,,47367,176429,,88384,117557,35624,60,3400,240,2340,4983,,,,,,,,,,,,,,,,46647,,,25834,2005,,321,,2192,,,,,,,,,,,,,,,,30352,891098
01/02/2023,29252,,2310,,52111,138093,,56822,85995,41088,60,3400,240,2340,4983,,,,,,,,,,,,,,,,52111,,,33271,0,,0,,0,,,,,,,,,,,,,,,,33271,920350
04/03/2023,27605,,2181,,59117,87305,,27036,56209,41654,60,3400,1680,1740,4983,,,,,,,,,,,,,,,,53517,,,33543,0,,0,,0,,,,,,,,,,,,,,,,33543,947955
04/04/2023,24300,,2736,,70432,146434,,113343,29173,46829,60,6390,1680,1740,4983,5000,2500,,,,,,,,,,,,,,69182,,,31594,0,,0,1623,0,,,,,,,,,,,,,,,,33217,972255
05/05/2023,18994,,1281,,66385,230209,,93068,8898,32590,4628,6253,1680,1740,3688,4440,960,,,,,,,,,,,,,,55979,,,29007,0,,0,2312,1295,,,,,,,,,,,,,,,,32614,991249
05/06/2023,7429,,1469,,95974,198014,,84170,118037,60597,4628,6622,1560,1740,1857,3440,1769,,,,,,,,,,,,,,82213,,,16712,0,,0,0,1797,1218,580,,,,,,,,,,,,,,20307,998678
06/07/2023,8093,,268,,92061,189970,,75809,109676,63530,4628,6512,1140,180,1891,1193,859,,,,,,,,,,,,,,79933,,,5916,40,122,16,0,34,2387,969,,,,,,,,,,,,,,9484,1006771
06/08/2023,6104,,2132,,83563,189970,,67573,101440,59291,4628,6515,660,180,1857,356,451,9975,5000,,,,,,,,,,,,73938,,,5684,0,529,0,0,0,2184,947,,,,,,,,,,,,,,9344,1012875
06/09/2023,5574,,2379,,89996,189970,,59620,93487,58668,4503,6421,326,180,1678,304,290,6009,3079,,,,,,,,,,,,81458,,,6341,47,688,78,0,0,713,369,,,,,,,,,,,,,,8236,1018449
07/10/2023,5288,2407,2641,,89996,189970,,49284,83151,58668,4503,6421,326,180,1678,304,290,6009,3079,5000,5000,,,,,,,,,,91458,4273,4912,4181,79,290,121,108,418,422,366,2379,118,,,,,,,,,,,,9544,1023737
07/11/2023,5472,2661,2386,,90763,191056,,38954,72821,56263,4405,6393,256,158,1257,235,138,4432,2123,3708,3111,,,,,,,,,,82479,5472,4865,435607,148,307,41,2,472,71,249,2803,1249,646,1491,,,,,,,,,,10519,1029209
