x_0,x_1,x_2
33543.0,33217.0,32614.0
33217.0,32614.0,20307.0
32614.0,20307.0,9484.0
20307.0,9484.0,9344.0
9484.0,9344.0,8236.0
9344.0,8236.0,8482.0
8236.0,8482.0,10519.0
8482.0,10519.0,12552.0
10519.0,12552.0,13025.0
12552.0,13025.0,13376.0
13025.0,13376.0,15343.0
13376.0,15343.0,18532.0
15343.0,18532.0,20651.0
18532.0,20651.0,17174.0
20651.0,17174.0,20098.0
17174.0,20098.0,20736.0
20098.0,20736.0,21071.0
20736.0,21071.0,13792.0
21071.0,13792.0,18219.0
13792.0,18219.0,12712.0
18219.0,12712.0,8848.0
12712.0,8848.0,7722.0
