x_0,x_1,x_2
891098.0,920350.0,947955.0
920350.0,947955.0,972255.0
947955.0,972255.0,991249.0
972255.0,991249.0,998678.0
991249.0,998678.0,1006771.0
998678.0,1006771.0,1012875.0
1006771.0,1012875.0,1018449.0
1012875.0,1018449.0,1023737.0
1018449.0,1023737.0,1029209.0
1023737.0,1029209.0,1037310.0
1029209.0,1037310.0,1047125.0
1037310.0,1047125.0,1057297.0
1047125.0,1057297.0,1068695.0
1057297.0,1068695.0,1083890.0
1068695.0,1083890.0,1101272.0
1083890.0,1101272.0,1115729.0
1101272.0,1115729.0,1132578.0
1115729.0,1132578.0,1150573.0
1132578.0,1150573.0,1168860.0
1150573.0,1168860.0,1178550.0
1168860.0,1178550.0,1186120.0
1178550.0,1186120.0,1192332.0
1186120.0,1192332.0,1197520.0
1192332.0,1197520.0,1200000.0
