x_0,x_1,x_2
25834.0,33271.0,33543.0
33271.0,33543.0,31594.0
33543.0,31594.0,29007.0
31594.0,29007.0,16712.0
29007.0,16712.0,5916.0
16712.0,5916.0,5684.0
5916.0,5684.0,6341.0
5684.0,6341.0,4181.0
6341.0,4181.0,3040.0
4181.0,3040.0,3736.0
3040.0,3736.0,5398.0
3736.0,5398.0,4790.0
5398.0,4790.0,6073.0
4790.0,6073.0,6371.0
6073.0,6371.0,7887.0
6371.0,7887.0,6926.0
7887.0,6926.0,7981.0
6926.0,7981.0,9155.0
7981.0,9155.0,7257.0
9155.0,7257.0,4313.0
7257.0,4313.0,4427.0
4313.0,4427.0,3468.0
4427.0,3468.0,2403.0
3468.0,2403.0,1661.0
