mastercard,not_mastercard_or_visa,tarjetas_debito,visa
7965016.0,3630633.0,32474770.0,7598867.0
8717037.0,3915533.0,32320479.0,8409989.0
9794751.0,4192062.0,31919758.0,9058266.0
10511627.0,4247812.0,32383132.0,9793043.0
10671371.0,4531314.0,31571193.0,10529774.0
10677382.0,4793119.0,32427647.0,10758018.0
10801241.0,3539838.0,31626625.0,12038186.0
10741231.0,6212091.0,32186585.0,12582247.0
10865696.0,6361111.0,32132217.0,13741042.0
10761922.0,1628452.0,33424596.0,14105882.0
10431730.0,1543841.0,30760433.0,14164053.0
9941746.0,1599658.0,31782271.0,13700103.0
9403967.0,1810442.0,31185272.0,13293295.0
8943229.0,1693006.0,30598945.0,12401018.0
8620940.0,1569605.0,33039074.0,12090775.0
8478184.0,1478925.0,36072352.0,12139840.0
8398514.0,1438144.0,45098605.0,12021198.0
8241760.0,1398919.0,48156494.0,12230382.0
8296945.0,1367972.0,50132759.0,12149040.0
8448254.0,1349298.0,51740055.0,12599503.0
8630656.0,1335053.0,46799196.0,12481062.0
8908489.0,1311005.0,50760496.0,13022323.0
9302312.0,1377021.0,51255405.0,13378959.0
9343212.0,1449608.0,51871659.0,13857479.0
9402353.0,1513149.0,51835454.0,13829674.0
9464586.0,1544137.0,54701493.0,13779844.0
9496535.0,1551430.0,56663541.0,14146972.0
9324872.0,1576878.0,56936270.0,14467345.0
9110895.0,1527488.0,58366526.0,14453754.0
9166728.0,1540150.0,59892553.0,14853625.0
9200788.0,1640429.0,62497587.0,14789059.0
9236811.0,1745415.0,60828410.0,14905095.0
9314114.0,1519812.0,64282592.0,16372932.0
9364545.0,1486207.0,67833468.0,17931374.0
9685866.0,1461795.0,71539758.0,17730251.0
9617923.0,1571873.0,75165015.0,17359444.0
10492122.0,1563737.0,75839913.0,17674523.0
10497901.0,1592540.0,80046433.0,17667463.0
9819350.0,1618126.0,83841573.0,18217765.0
9750849.0,1648786.0,85602898.0,18237272.0
9766588.0,1669820.0,92697694.0,18539023.0
9946753.0,1672819.0,96585103.0,18858894.0
9996836.0,1676040.0,108754096.0,19200429.0
10168669.0,1606357.0,112685374.0,19451682.0
10902335.0,1608434.0,116115981.0,20431114.0
10840540.0,1413456.0,118494523.0,20479436.0
11957163.0,1438710.0,122331512.0,18775786.0
12140457.0,1464629.0,126006604.0,19135316.0
11207372.0,1494830.0,128067754.0,13621992.0
11386281.0,1538901.0,131443806.0,13994522.0
11574644.0,1575440.0,132263772.0,14045660.0
11691509.0,1528047.0,134640482.0,14241254.0
11540681.0,1544025.0,133676545.0,14585430.0
11502258.0,962005.0,139704446.0,16104971.0
11494805.0,997674.0,143101746.0,16604187.0
11695007.0,1028714.0,141827066.0,15870521.0
11511899.0,1042827.0,141312771.0,17110289.0
11245393.0,1024786.0,134671175.0,16104868.0
10935959.0,1002276.0,137672681.0,16317850.0
10522397.0,988717.0,137125281.0,16168786.0
10580674.0,965155.0,137707830.0,16116577.0
10755342.0,962821.0,138937248.0,15921700.0
10938299.0,961533.0,138992056.0,16668180.0
11448103.0,53696.0,144266903.0,16520881.0
11732108.0,49789.0,138866612.0,16230087.0
12086518.0,49789.0,144949275.0,16184017.0
12287256.0,70205.0,147980350.0,16702594.0
12517454.0,111735.0,153688588.0,17064109.0
12803914.0,149766.0,146840500.0,21328952.0
13089481.0,170787.0,151587216.0,22305421.0
13303876.0,200251.0,150508499.0,18218078.0
14846248.0,212202.0,150848296.0,22730631.0
13900288.0,235421.0,150052123.0,24611693.0
14359617.0,258748.0,150167293.0,25315648.0
14627902.0,273854.0,153798126.0,26777536.0
15753207.0,306264.0,157782610.0,27260052.0
,,153907420.0,
,,152286957.0,
,,146198685.0,
,,143456417.0,
,,148882593.0,
,,152244697.0,
,,152226680.0,
,,155625585.0,
,,175212513.0,
,,181804633.0,
,,175117726.0,
,,195820356.0,
,,197270072.0,
,,194898215.0,
,,199911746.0,
,,231872706.0,
