series,t+1,t+2,t+3,t+4,t+5,t+6
rappi_entregas_black,10652.653846153846,10652.653846153846,10652.653846153846,10652.653846153846,10652.653846153846,10652.653846153846
rappi_entregas_ocean_plastic,2470.3076923076924,2470.3076923076924,2470.3076923076924,3048.0637115377067,3048.0637115377067,3009.0631133915754
rappi_entregas_cardjolote_black,2464.625,2610.851724109814,2464.625,2464.625,2464.625,2464.625
rappi_entregas_cincita,196.6153846153846,196.6153846153846,196.6153846153846,196.6153846153846,196.6153846153846,196.6153846153846
rappi_entregas_onix,106.35,106.35,106.35,106.35,106.35,106.35
rappi_entregas_pride_2022,179.65217391304347,179.65217391304347,179.65217391304347,179.65217391304347,179.65217391304347,179.65217391304347
rappi_entregas_mundial,283.88461538461536,283.88461538461536,283.88461538461536,283.88461538461536,283.88461538461536,283.88461538461536
rappi_entregas_pride_hologlam,337.9047619047619,337.9047619047619,337.9047619047619,337.9047619047619,337.9047619047619,337.9047619047619
rappi_entregas_pride_colors,168.04761904761904,168.04761904761904,182.47601911609033,168.04761904761904,168.04761904761904,168.04761904761904
rappi_entregas_cardlaveritas,560.2941176470588,560.2941176470588,560.2941176470588,560.2941176470588,560.2941176470588,560.2941176470588
rappi_entregas_cardtrinas,198.88235294117646,198.88235294117646,198.88235294117646,198.88235294117646,198.88235294117646,198.88235294117646
rappi_entregas_cardjolote_white,297.875,297.875,297.875,297.875,297.875,297.875
rappi_entregas_playcard,1634.5833333333333,11608.276481946998,1794.9821083111883,1634.5833333333333,1634.5833333333333,1634.5833333333333
rappi_entregas_gotica,922.7,922.7,922.7,922.7,922.7,922.7
rappi_entregas_pride_2024,1035.6666666666667,1035.6666666666667,1035.6666666666667,1035.6666666666667,1035.6666666666667,1035.6666666666667
rappi_entregas_minion_rayo,539.625,539.625,539.625,539.625,539.625,539.625
rappi_entregas_minion_mega,508.5,508.5,508.5,508.5,508.5,508.5
rappi_entregas_cardlaveritas_2024,1769.0,1769.0,1769.0,1769.0,1769.0,1769.0
alan_mastercard,15303756.133312067,15751474.572861936,16802296.649717156,16631188.353488062,17165320.395735655,18651590.210335225
alan_not_mastercard_or_visa,1594564.9605263157,1594564.9605263157,1594564.9605263157,1666784.987616297,1666784.987616297,1705595.1444298164
alan_tarjetas_debito,203446845.71121418,232536411.20712212,211319792.30637318,233579060.50813597,218412403.3727265,235513503.50520924
alan_visa,26662190.581321254,27846734.449083894,28174285.024649158,27948646.878706742,29032319.25693115,29338795.840695478
bancacred_tarjeta_de_credito,35753210.00167128,36503478.52197621,36505134.00709684,37183079.24847601,37291367.30745569,37918477.69803983
bancacred_personal,12739039.759297397,12908127.069640893,12731341.943157626,12684983.359833408,12647511.93317513,12601547.464803379
bancacred_total,65065400.04452689,67094711.89489729,66491543.16724635,68587454.47722976,68160215.1017746,70404999.0027765
